description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
Digitized client-driven database,3100.0,10085.0,successful,134,US,USD,2021-08-23,2022-01-10,cat8,subcat15
Organized bi-directional function,9900.0,5027.0,failed,88,DK,DKK,2021-04-14,2021-05-01,cat4,subcat4
Reduced stable middleware,8800.0,14878.0,successful,198,US,USD,2020-11-18,2021-03-18,cat3,subcat9
Universal 5thgeneration neural-net,5600.0,11924.0,successful,111,IT,EUR,2021-03-17,2021-07-08,cat2,subcat2
Virtual uniform frame,1800.0,7991.0,successful,222,US,USD,2020-06-20,2021-01-30,cat1,subcat1
Profound explicit paradigm,90200.0,167717.0,successful,6212,US,USD,2020-11-14,2021-07-06,cat6,subcat16
Visionary real-time groupware,1600.0,10541.0,successful,98,DK,DKK,2020-11-25,2021-03-01,cat6,subcat14
Networked tertiary Graphical User Interface,9500.0,4530.0,failed,48,US,USD,2021-01-18,2021-03-20,cat4,subcat4
Virtual grid-enabled task-force,3700.0,4247.0,successful,92,US,USD,2021-05-23,2021-09-23,cat2,subcat2
Function-based multi-state software,1500.0,7129.0,successful,149,US,USD,2020-12-18,2021-06-27,cat4,subcat4
Optimized leadingedge concept,33300.0,128862.0,successful,2431,US,USD,2021-02-22,2021-11-10,cat4,subcat4
Sharable holistic interface,7200.0,13653.0,successful,303,US,USD,2021-01-25,2022-01-30,cat2,subcat2
Down-sized system-worthy secured line,100.0,2.0,failed,1,IT,EUR,2021-10-08,2021-11-03,cat2,subcat17
Inverse secondary infrastructure,158100.0,145243.0,failed,1467,GB,GBP,2020-09-07,2021-07-29,cat3,subcat9
Organic foreground leverage,7200.0,2459.0,failed,75,US,USD,2021-03-12,2022-01-05,cat4,subcat4
Reverse-engineered static concept,8800.0,12356.0,successful,209,US,USD,2021-10-14,2021-12-24,cat5,subcat7
Multi-channeled neutral customer loyalty,6000.0,5392.0,failed,120,US,USD,2021-03-30,2021-05-24,cat3,subcat9
Reverse-engineered bifurcated strategy,6600.0,11746.0,successful,131,US,USD,2021-09-29,2021-11-29,cat2,subcat18
Horizontal context-sensitive knowledge user,8000.0,11493.0,successful,164,US,USD,2021-03-03,2021-05-22,cat3,subcat9
Cross-group multi-state task-force,2900.0,6243.0,successful,201,US,USD,2021-07-23,2021-12-04,cat7,subcat12
Expanded 3rdgeneration strategy,2700.0,6132.0,successful,211,US,USD,2021-02-09,2021-06-11,cat4,subcat4
Assimilated real-time support,1400.0,3851.0,successful,128,US,USD,2020-12-10,2021-03-07,cat4,subcat4
User-centric regional database,94200.0,135997.0,successful,1600,CA,CAD,2020-10-20,2021-08-24,cat4,subcat4
Open-source zero administration complexity,199200.0,184750.0,failed,2253,CA,CAD,2021-06-15,2021-10-26,cat4,subcat4
Organized incremental standardization,2000.0,14452.0,successful,249,US,USD,2021-08-19,2021-11-21,cat3,subcat3
Assimilated didactic open system,4700.0,557.0,failed,5,US,USD,2021-06-25,2021-07-16,cat4,subcat4
Vision-oriented logistical intranet,2800.0,2734.0,failed,38,US,USD,2021-05-21,2021-09-23,cat3,subcat3
Mandatory incremental projection,6100.0,14405.0,successful,236,US,USD,2021-02-23,2021-11-20,cat4,subcat4
Grass-roots needs-based encryption,2900.0,1307.0,failed,12,US,USD,2021-10-05,2021-11-06,cat4,subcat4
Team-oriented 6thgeneration middleware,72600.0,117892.0,successful,4065,GB,GBP,2020-11-03,2021-09-24,cat3,subcat9
Inverse multi-tasking installation,5700.0,14508.0,successful,246,IT,EUR,2020-08-10,2021-02-07,cat4,subcat4
Switchable disintermediate moderator,7900.0,1901.0,canceled,17,US,USD,2021-06-27,2022-01-17,cat4,subcat4
Re-engineered 24/7 task-force,128000.0,158389.0,successful,2475,IT,EUR,2021-08-08,2022-01-30,cat4,subcat4
Organic object-oriented budgetary management,6000.0,6484.0,successful,76,US,USD,2021-03-19,2021-06-05,cat4,subcat4
Seamless coherent parallelism,600.0,4022.0,successful,54,US,USD,2021-07-27,2021-11-30,cat5,subcat11
Cross-platform even-keeled initiative,1400.0,9253.0,successful,88,US,USD,2020-05-11,2021-03-09,cat2,subcat18
Progressive tertiary framework,3900.0,4776.0,successful,85,GB,GBP,2021-06-29,2021-08-27,cat2,subcat17
Multi-layered dynamic protocol,9700.0,14606.0,successful,170,US,USD,2021-02-25,2021-03-31,cat8,subcat15
Horizontal next generation function,122900.0,95993.0,failed,1684,US,USD,2020-12-13,2021-12-26,cat4,subcat4
Pre-emptive impactful model,9500.0,4460.0,failed,56,US,USD,2021-06-17,2021-08-27,cat5,subcat11
User-centric bifurcated knowledge user,4500.0,13536.0,successful,330,US,USD,2020-12-24,2021-04-16,cat6,subcat19
Triple-buffered reciprocal project,57800.0,40228.0,failed,838,US,USD,2021-06-13,2021-11-18,cat4,subcat4
Cross-platform needs-based approach,1100.0,7012.0,successful,127,US,USD,2021-06-26,2021-10-21,cat7,subcat12
User-friendly static contingency,16800.0,37857.0,successful,411,US,USD,2020-11-01,2021-03-04,cat2,subcat2
Reactive content-based framework,1000.0,14973.0,successful,180,GB,GBP,2020-10-09,2021-11-11,cat7,subcat12
Realigned user-facing concept,106400.0,39996.0,failed,1000,US,USD,2021-06-25,2021-08-08,cat2,subcat6
Public-key zero tolerance orchestration,31400.0,41564.0,successful,374,US,USD,2021-07-03,2021-10-05,cat3,subcat9
Multi-tiered eco-centric architecture,4900.0,6430.0,successful,71,AU,AUD,2021-05-29,2021-08-20,cat2,subcat8
Organic motivating firmware,7400.0,12405.0,successful,203,US,USD,2021-05-16,2021-09-12,cat4,subcat4
Synergized 4thgeneration conglomeration,198500.0,123040.0,failed,1482,AU,AUD,2020-08-23,2021-03-24,cat2,subcat2
Grass-roots fault-tolerant policy,4800.0,12516.0,successful,113,US,USD,2020-07-21,2021-02-22,cat6,subcat19
Monitored scalable knowledgebase,3400.0,8588.0,successful,96,US,USD,2020-07-23,2021-01-18,cat4,subcat4
Synergistic explicit parallelism,7800.0,6132.0,failed,106,US,USD,2021-10-09,2021-11-15,cat4,subcat4
Enhanced systemic analyzer,154300.0,74688.0,failed,679,IT,EUR,2020-07-03,2021-06-17,cat6,subcat19
Object-based analyzing knowledge user,20000.0,51775.0,successful,498,CH,CHF,2020-08-05,2021-05-15,cat7,subcat12
Pre-emptive radical architecture,108800.0,65877.0,canceled,610,US,USD,2020-11-22,2021-12-05,cat4,subcat4
Grass-roots web-enabled contingency,2900.0,8807.0,successful,180,GB,GBP,2021-03-14,2021-08-29,cat3,subcat3
Stand-alone system-worthy standardization,900.0,1017.0,successful,27,US,USD,2021-08-06,2021-09-05,cat5,subcat5
Down-sized systematic policy,69700.0,151513.0,successful,2331,US,USD,2021-10-18,2021-12-26,cat4,subcat4
Cloned bi-directional architecture,1300.0,12047.0,successful,113,US,USD,2020-11-29,2021-06-11,cat1,subcat1
Seamless transitional portal,97800.0,32951.0,failed,1220,AU,AUD,2021-02-14,2021-11-03,cat7,subcat12
Fully-configurable motivating approach,7600.0,14951.0,successful,164,US,USD,2020-08-23,2021-02-06,cat4,subcat4
Upgradable fault-tolerant approach,100.0,1.0,failed,1,US,USD,2021-06-22,2021-10-23,cat4,subcat4
Reduced heuristic moratorium,900.0,9193.0,successful,164,US,USD,2021-10-06,2022-01-27,cat2,subcat6
Front-line web-enabled model,3700.0,10422.0,successful,336,US,USD,2020-09-18,2021-08-18,cat3,subcat9
Polarized incremental emulation,10000.0,2461.0,failed,37,IT,EUR,2021-05-10,2021-08-03,cat2,subcat6
Self-enabling grid-enabled initiative,119200.0,170623.0,successful,1917,US,USD,2021-07-09,2021-10-15,cat2,subcat8
Total fresh-thinking system engine,6800.0,9829.0,successful,95,US,USD,2020-10-08,2021-07-23,cat3,subcat3
Ameliorated clear-thinking circuit,3900.0,14006.0,successful,147,US,USD,2021-03-05,2021-05-19,cat4,subcat4
Multi-layered encompassing installation,3500.0,6527.0,successful,86,US,USD,2021-05-07,2021-12-28,cat4,subcat4
Universal encompassing implementation,1500.0,8929.0,successful,83,US,USD,2020-10-14,2021-07-23,cat5,subcat5
Object-based client-server application,5200.0,3079.0,failed,60,US,USD,2020-10-01,2021-06-12,cat5,subcat20
Cross-platform solution-oriented process improvement,142400.0,21307.0,failed,296,US,USD,2020-05-05,2021-05-30,cat1,subcat1
Re-engineered user-facing approach,61400.0,73653.0,successful,676,US,USD,2021-03-17,2021-10-27,cat6,subcat16
Re-engineered client-driven hub,4700.0,12635.0,successful,361,AU,AUD,2020-10-24,2021-04-12,cat3,subcat3
User-friendly tertiary array,3300.0,12437.0,successful,131,US,USD,2021-01-29,2021-02-13,cat1,subcat1
Robust heuristic encoding,1900.0,13816.0,successful,126,US,USD,2021-07-02,2021-12-31,cat3,subcat9
Team-oriented clear-thinking capacity,166700.0,145382.0,failed,3304,IT,EUR,2021-03-20,2021-04-16,cat6,subcat14
De-engineered motivating standardization,7200.0,6336.0,failed,73,US,USD,2021-09-02,2021-12-31,cat4,subcat4
Business-focused 24hour groupware,4900.0,8523.0,successful,275,US,USD,2021-06-18,2021-12-31,cat5,subcat20
Organic next generation protocol,5400.0,6351.0,successful,67,US,USD,2020-10-07,2021-10-17,cat8,subcat15
Reverse-engineered full-range Internet solution,5000.0,10748.0,successful,154,US,USD,2021-07-27,2021-11-01,cat5,subcat5
Synchronized regional synergy,75100.0,112272.0,successful,1782,US,USD,2021-04-15,2021-10-08,cat7,subcat21
Multi-lateral homogeneous success,45300.0,99361.0,successful,903,US,USD,2020-06-21,2021-04-14,cat7,subcat12
Seamless zero-defect solution,136800.0,88055.0,failed,3387,US,USD,2020-05-21,2021-01-28,cat6,subcat14
Enhanced scalable concept,177700.0,33092.0,failed,662,CA,CAD,2022-01-15,2022-02-03,cat4,subcat4
Polarized uniform software,2600.0,9562.0,successful,94,IT,EUR,2020-07-19,2021-02-28,cat8,subcat15
Stand-alone web-enabled moderator,5300.0,8475.0,successful,180,US,USD,2020-05-10,2021-05-02,cat4,subcat4
Proactive methodical benchmark,180200.0,69617.0,failed,774,US,USD,2020-03-24,2021-03-11,cat4,subcat4
Team-oriented 6thgeneration matrix,103200.0,53067.0,failed,672,CA,CAD,2021-03-03,2021-06-16,cat4,subcat4
Phased human-resource core,70600.0,42596.0,canceled,532,US,USD,2020-09-13,2021-09-17,cat2,subcat2
Mandatory tertiary implementation,148500.0,4756.0,canceled,55,AU,AUD,2021-03-23,2021-12-06,cat1,subcat1
Secured directional encryption,9600.0,14925.0,successful,533,DK,DKK,2020-10-10,2021-07-13,cat5,subcat7
Distributed 5thgeneration implementation,164700.0,166116.0,successful,2443,GB,GBP,2021-07-17,2022-01-18,cat3,subcat3
Virtual static core,3300.0,3834.0,successful,89,US,USD,2020-10-20,2021-11-02,cat4,subcat4
Secured content-based product,4500.0,13985.0,successful,159,US,USD,2020-07-09,2021-05-18,cat2,subcat22
Secured executive concept,99500.0,89288.0,failed,940,CH,CHF,2021-07-23,2021-07-28,cat5,subcat5
Balanced zero-defect software,7700.0,5488.0,failed,117,US,USD,2020-12-25,2021-12-02,cat4,subcat4
Distributed context-sensitive flexibility,82800.0,2721.0,canceled,58,US,USD,2021-03-23,2021-04-14,cat5,subcat7
Down-sized disintermediate support,1800.0,4712.0,successful,50,US,USD,2020-04-07,2021-02-14,cat6,subcat10
Stand-alone mission-critical moratorium,9600.0,9216.0,failed,115,US,USD,2021-05-10,2021-12-17,cat7,subcat21
Down-sized empowering protocol,92100.0,19246.0,failed,326,US,USD,2021-01-14,2021-07-07,cat3,subcat9
Fully-configurable coherent Internet solution,5500.0,12274.0,successful,186,US,USD,2020-10-18,2021-05-05,cat5,subcat5
Distributed motivating algorithm,64300.0,65323.0,successful,1071,US,USD,2020-05-07,2021-03-21,cat3,subcat3
Expanded solution-oriented benchmark,5000.0,11502.0,successful,117,US,USD,2021-05-26,2021-11-24,cat3,subcat3
Implemented discrete secured line,5400.0,7322.0,successful,70,US,USD,2020-12-03,2021-11-25,cat2,subcat8
Multi-lateral actuating installation,9000.0,11619.0,successful,135,US,USD,2021-02-07,2021-04-20,cat4,subcat4
Secured reciprocal array,25000.0,59128.0,successful,768,CH,CHF,2021-01-28,2021-11-21,cat3,subcat9
Optional bandwidth-monitored middleware,8800.0,1518.0,canceled,51,US,USD,2020-09-15,2021-02-01,cat4,subcat4
Upgradable upward-trending workforce,8300.0,9337.0,successful,199,US,USD,2021-08-21,2021-11-15,cat4,subcat4
Upgradable hybrid capability,9300.0,11255.0,successful,107,US,USD,2020-04-19,2021-02-15,cat3,subcat9
Managed fresh-thinking flexibility,6200.0,13632.0,successful,195,US,USD,2020-09-08,2021-04-16,cat2,subcat8
Networked stable workforce,100.0,1.0,failed,1,US,USD,2021-01-21,2021-07-11,cat2,subcat2
Customizable intermediate extranet,137200.0,88037.0,failed,1467,US,USD,2021-12-02,2022-01-12,cat2,subcat6
User-centric fault-tolerant task-force,41500.0,175573.0,successful,3376,US,USD,2020-11-13,2021-07-23,cat2,subcat8
Multi-tiered radical definition,189400.0,176112.0,failed,5681,US,USD,2021-07-17,2021-11-12,cat4,subcat4
Devolved foreground benchmark,171300.0,100650.0,failed,1059,US,USD,2021-01-29,2021-06-20,cat2,subcat8
Distributed eco-centric methodology,139500.0,90706.0,failed,1194,US,USD,2021-05-23,2021-07-29,cat4,subcat4
Streamlined encompassing encryption,36400.0,26914.0,canceled,379,AU,AUD,2020-11-24,2021-12-26,cat2,subcat2
User-friendly reciprocal initiative,4200.0,2212.0,failed,30,AU,AUD,2021-04-20,2021-10-14,cat8,subcat15
Ergonomic fresh-thinking installation,2100.0,4640.0,successful,41,US,USD,2020-12-28,2021-11-24,cat2,subcat2
Robust explicit hardware,191200.0,191222.0,successful,1821,US,USD,2021-05-22,2021-06-30,cat4,subcat4
Stand-alone actuating support,8000.0,12985.0,successful,164,US,USD,2021-04-26,2021-07-14,cat3,subcat9
Cross-platform methodical process improvement,5500.0,4300.0,failed,75,US,USD,2021-02-01,2021-09-05,cat3,subcat3
Extended bottom-line open architecture,6100.0,9134.0,successful,157,CH,CHF,2021-09-05,2021-12-16,cat2,subcat2
Extended reciprocal circuit,3500.0,8864.0,successful,246,US,USD,2020-08-01,2021-08-15,cat8,subcat15
Polarized human-resource protocol,150500.0,150755.0,successful,1396,US,USD,2021-11-14,2021-11-24,cat4,subcat4
Synergized radical product,90400.0,110279.0,successful,2506,US,USD,2021-05-05,2021-08-08,cat3,subcat3
Robust heuristic artificial intelligence,9800.0,13439.0,successful,244,US,USD,2021-01-11,2021-08-25,cat8,subcat15
Robust content-based emulation,2600.0,10804.0,successful,146,AU,AUD,2021-04-01,2021-10-19,cat4,subcat4
Ergonomic uniform open system,128100.0,40107.0,failed,955,DK,DKK,2020-05-16,2021-03-18,cat2,subcat8
Profit-focused modular product,23300.0,98811.0,successful,1267,US,USD,2020-07-10,2021-03-23,cat5,subcat13
Mandatory mobile product,188100.0,5528.0,failed,67,US,USD,2020-09-24,2021-07-27,cat2,subcat8
Public-key 3rdgeneration budgetary management,4900.0,521.0,failed,5,US,USD,2020-11-17,2021-11-23,cat6,subcat19
Centralized national firmware,800.0,663.0,failed,26,US,USD,2020-09-04,2021-04-16,cat5,subcat5
Cross-group 4thgeneration middleware,96700.0,157635.0,successful,1561,US,USD,2021-03-21,2021-10-17,cat4,subcat4
Pre-emptive scalable access,600.0,5368.0,successful,48,US,USD,2020-04-15,2021-02-08,cat3,subcat9
Sharable intangible migration,181200.0,47459.0,failed,1130,US,USD,2021-01-27,2021-12-16,cat4,subcat4
Proactive scalable Graphical User Interface,115000.0,86060.0,failed,782,US,USD,2021-01-06,2021-05-06,cat4,subcat4
Digitized solution-oriented product,38800.0,161593.0,successful,2739,US,USD,2021-05-02,2021-08-26,cat4,subcat4
Triple-buffered cohesive structure,7200.0,6927.0,failed,210,US,USD,2021-04-17,2021-07-08,cat1,subcat1
Realigned human-resource orchestration,44500.0,159185.0,successful,3537,CA,CAD,2020-09-14,2021-04-11,cat4,subcat4
Optional clear-thinking software,56000.0,172736.0,successful,2107,AU,AUD,2020-10-09,2021-06-06,cat3,subcat9
Centralized global approach,8600.0,5315.0,failed,136,US,USD,2021-03-17,2021-04-15,cat3,subcat3
Reverse-engineered bandwidth-monitored contingency,27100.0,195750.0,successful,3318,DK,DKK,2021-03-09,2021-08-28,cat4,subcat4
Pre-emptive bandwidth-monitored instruction set,5100.0,3525.0,failed,86,CA,CAD,2020-04-16,2021-03-02,cat2,subcat2
Adaptive asynchronous emulation,3600.0,10550.0,successful,340,US,USD,2021-07-13,2021-09-11,cat4,subcat4
Innovative actuating conglomeration,1000.0,718.0,failed,19,US,USD,2020-04-28,2021-03-22,cat5,subcat20
Grass-roots foreground policy,88800.0,28358.0,failed,886,US,USD,2021-02-10,2021-08-16,cat4,subcat4
Horizontal transitional paradigm,60200.0,138384.0,successful,1442,CA,CAD,2020-06-12,2021-02-20,cat5,subcat13
Networked didactic info-mediaries,8200.0,2625.0,failed,35,IT,EUR,2021-06-18,2021-10-07,cat4,subcat4
Switchable contextually-based access,191300.0,45004.0,canceled,441,US,USD,2021-01-30,2021-05-23,cat4,subcat4
Up-sized dynamic throughput,3700.0,2538.0,failed,24,US,USD,2021-02-24,2021-09-04,cat4,subcat4
Mandatory reciprocal superstructure,8400.0,3188.0,failed,86,IT,EUR,2020-07-25,2021-05-11,cat4,subcat4
Upgradable 4thgeneration productivity,42600.0,8517.0,failed,243,US,USD,2020-11-07,2021-06-16,cat2,subcat2
Progressive discrete hub,6600.0,3012.0,failed,65,US,USD,2020-04-25,2021-03-22,cat2,subcat8
Assimilated multi-tasking archive,7100.0,8716.0,successful,126,US,USD,2021-08-30,2021-09-21,cat2,subcat17
Upgradable high-level solution,15800.0,57157.0,successful,524,US,USD,2021-02-02,2021-12-15,cat2,subcat6
Organic bandwidth-monitored frame,8200.0,5178.0,failed,100,DK,DKK,2020-08-06,2021-08-30,cat3,subcat9
Business-focused logistical framework,54700.0,163118.0,successful,1989,US,USD,2021-03-14,2021-06-02,cat5,subcat7
Universal multi-state capability,63200.0,6041.0,failed,168,US,USD,2021-04-05,2021-07-05,cat2,subcat6
Digitized reciprocal infrastructure,1800.0,968.0,failed,13,US,USD,2020-03-14,2021-03-13,cat2,subcat2
Reduced dedicated capability,100.0,2.0,failed,1,CA,CAD,2020-09-24,2021-05-26,cat4,subcat4
Cross-platform bi-directional workforce,2100.0,14305.0,successful,157,US,USD,2021-02-09,2021-10-26,cat3,subcat3
Upgradable scalable methodology,8300.0,6543.0,canceled,82,US,USD,2020-08-13,2021-04-22,cat1,subcat1
Customer-focused client-server service-desk,143900.0,193413.0,successful,4498,AU,AUD,2021-05-24,2021-09-24,cat4,subcat4
Mandatory multimedia leverage,75000.0,2529.0,failed,40,US,USD,2020-10-20,2021-01-17,cat2,subcat18
Focused analyzing circuit,1300.0,5614.0,successful,80,US,USD,2021-04-10,2022-01-04,cat4,subcat4
Fundamental grid-enabled strategy,9000.0,3496.0,canceled,57,US,USD,2021-06-04,2021-10-29,cat6,subcat14
Digitized 5thgeneration knowledgebase,1000.0,4257.0,successful,43,US,USD,2020-12-25,2021-08-29,cat2,subcat2
Mandatory multi-tasking encryption,196900.0,199110.0,successful,2053,US,USD,2020-12-07,2021-08-21,cat5,subcat5
Distributed system-worthy application,194500.0,41212.0,live,808,AU,AUD,2021-06-07,2021-09-21,cat5,subcat5
Synergistic tertiary time-frame,9400.0,6338.0,failed,226,DK,DKK,2021-01-28,2021-08-24,cat5,subcat23
Customer-focused impactful benchmark,104400.0,99100.0,failed,1625,US,USD,2020-06-13,2021-06-17,cat4,subcat4
Profound next generation infrastructure,8100.0,12300.0,successful,168,US,USD,2020-02-24,2021-03-05,cat4,subcat4
Face-to-face encompassing info-mediaries,87900.0,171549.0,successful,4289,US,USD,2020-12-20,2021-07-30,cat2,subcat8
Open-source fresh-thinking policy,1400.0,14324.0,successful,165,US,USD,2021-06-01,2021-07-24,cat2,subcat2
Extended 24/7 implementation,156800.0,6024.0,failed,143,US,USD,2020-10-07,2021-05-14,cat4,subcat4
Organic dynamic algorithm,121700.0,188721.0,successful,1815,US,USD,2020-08-22,2021-01-06,cat4,subcat4
Organic multi-tasking focus group,129400.0,57911.0,failed,934,US,USD,2021-03-09,2021-06-28,cat5,subcat23
Adaptive logistical initiative,5700.0,12309.0,successful,397,GB,GBP,2021-02-04,2021-04-26,cat5,subcat13
Stand-alone mobile customer loyalty,41700.0,138497.0,successful,1539,US,USD,2020-08-30,2021-08-04,cat5,subcat11
Focused composite approach,7900.0,667.0,failed,17,US,USD,2021-07-31,2021-12-01,cat4,subcat4
Face-to-face clear-thinking Local Area Network,121500.0,119830.0,failed,2179,US,USD,2021-04-10,2021-10-01,cat1,subcat1
Cross-group cohesive circuit,4800.0,6623.0,successful,138,US,USD,2020-12-18,2021-04-27,cat8,subcat15
Synergistic explicit capability,87300.0,81897.0,failed,931,US,USD,2021-03-28,2021-08-25,cat4,subcat4
Diverse analyzing definition,46300.0,186885.0,successful,3594,US,USD,2021-01-01,2021-05-30,cat5,subcat23
Enterprise-wide reciprocal success,67800.0,176398.0,successful,5880,US,USD,2020-10-14,2021-02-28,cat2,subcat2
Progressive neutral middleware,3000.0,10999.0,successful,112,US,USD,2020-11-26,2021-02-08,cat8,subcat15
Intuitive exuding process improvement,60900.0,102751.0,successful,943,US,USD,2020-08-07,2021-06-15,cat7,subcat21
Exclusive real-time protocol,137900.0,165352.0,successful,2468,US,USD,2021-05-12,2021-10-18,cat5,subcat11
Extended encompassing application,85600.0,165798.0,successful,2551,US,USD,2020-12-19,2021-03-10,cat7,subcat21
Progressive value-added ability,2400.0,10084.0,successful,101,US,USD,2021-01-25,2021-06-15,cat7,subcat12
Cross-platform uniform hardware,7200.0,5523.0,canceled,67,US,USD,2021-02-12,2021-09-13,cat4,subcat4
Progressive secondary portal,3400.0,5823.0,successful,92,US,USD,2020-12-05,2021-11-09,cat4,subcat4
Multi-lateral national adapter,3800.0,6000.0,successful,62,US,USD,2021-10-15,2021-10-19,cat5,subcat11
Enterprise-wide motivating matrices,7500.0,8181.0,successful,149,IT,EUR,2020-06-16,2021-06-28,cat7,subcat12
Polarized upward-trending Local Area Network,8600.0,3589.0,failed,92,US,USD,2020-09-15,2021-02-23,cat5,subcat11
Object-based directional function,39500.0,4323.0,failed,57,AU,AUD,2021-01-21,2021-12-01,cat2,subcat2
Re-contextualized tangible open architecture,9300.0,14822.0,successful,329,US,USD,2021-03-15,2021-11-14,cat5,subcat11
Distributed systemic adapter,2400.0,10138.0,successful,97,DK,DKK,2020-06-11,2021-02-28,cat4,subcat4
Networked web-enabled instruction set,3200.0,3127.0,failed,41,US,USD,2021-04-12,2021-12-03,cat3,subcat9
Vision-oriented dynamic service-desk,29400.0,123124.0,successful,1784,US,USD,2020-04-19,2021-02-20,cat4,subcat4
Vision-oriented actuating open system,168500.0,171729.0,successful,1684,AU,AUD,2021-01-17,2021-07-23,cat6,subcat10
Sharable scalable core,8400.0,10729.0,successful,250,US,USD,2020-08-22,2021-03-01,cat2,subcat2
Customer-focused attitude-oriented function,2300.0,10240.0,successful,238,US,USD,2021-04-17,2021-08-28,cat4,subcat4
Reverse-engineered system-worthy extranet,700.0,3988.0,successful,53,US,USD,2021-05-02,2021-12-28,cat4,subcat4
Re-engineered systematic monitoring,2900.0,14771.0,successful,214,US,USD,2020-09-16,2021-03-22,cat4,subcat4
